Symbol,StkCode,CompanyName,Sector ,MarketCapInBillion ,LastPrice,PERatio,DividendYield,ROE,SectorId
SIME,4197,SIME DARBY BERHAD,Automotive,15.17,2.23,12.58,4.48,7.78,6
CIMB,1023,CIMB GROUP HOLDINGS BERHAD,Banking,41.859,4.18,35.04,1.15,2.12,1
HLBANK,5819,HONG LEONG BANK BERHAD,Banking,38.369,17.7,15.32,2.03,8.37,1
HLFG,1082,HONG LEONG FINANCIAL GROUP BERHAD,Banking,19.37,16.88,9.79,2.25,8.98,1
MAYBANK,1155,MALAYAN BANKING BERHAD,Banking,93.709,8.21,14.46,7.8,7.56,1
PBBANK,1295,PUBLIC BANK BERHAD,Banking,80.36,4.14,15.84,17.63,11.07,1
RHBBANK,1066,RHB BANK BERHAD,Banking,21.133,5.27,10.4,5.88,7.52,1
PCHEM,5183,PETRONAS CHEMICALS GROUP BERHAD,Chemicals,64.8,8.1,39.78,1.48,5.34,6
HAPSENG,3034,HAP SENG CONSOLIDATED BERHAD,Diversified Industrials,19.868,7.98,26.49,3.13,10.01,4
TENAGA,5347,TENAGA NASIONAL BHD,Electricity,56.305,9.87,15.67,8.11,6.44,6
DIALOG,7277,DIALOG GROUP BERHAD,"Energy Infrastructure, Equipment & Services",16.937,3,29.38,1.03,11.96,6
NESTLE,4707,NESTLE (MALAYSIA) BERHAD,Food & Beverages,31.892,136,58.89,1.71,73.09,2
PPB,4065,PPB GROUP BERHAD,Food & Beverages,26.546,18.66,20.16,2.47,5.77,2
PETGAS,6033,PETRONAS GAS BERHAD,"Gas, Water & Multi-utilities",31.264,15.8,15.56,8.04,15.91,6
HARTA,5168,HARTALEGA HOLDINGS BERHAD,Health Care Equipment & Services,32.665,9.53,11.32,1.42,58.06,3
SUPERMX,7106,SUPERMAX CORPORATION BERHAD,Health Care Equipment & Services,12.977,4.77,3.99,0.8,75.7,3
TOPGLOV,7113,TOP GLOVE CORPORATION BHD,Health Care Equipment & Services,43.905,5.35,6.38,7.79,97.55,3
IHH,5225,IHH HEALTHCARE BERHAD,Health Care Providers,47.846,5.45,165.65,0.73,1.33,6
PMETAL,8869,PRESS METAL ALUMINIUM HOLDINGS BERHAD,Metals,43.612,5.4,95.41,0.79,5.6,6
IOICORP,1961,IOI CORPORATION BERHAD,Plantation,25.895,4.12,29.7,1.94,9.07,4
KLK,2445,KUALA LUMPUR KEPONG BERHAD,Plantation,24.323,22.5,25.26,2.22,8.81,4
SIMEPLT,5285,SIME DARBY PLANTATION BERHAD,Plantation,31.394,4.56,28.25,2.54,8.15,4
PETDAG,5681,PETRONAS DAGANGAN BHD,Retailers,18.975,19.1,68.75,1.99,4.89,6
AXIATA,6888,AXIATA GROUP BERHAD,Telecommunications Service Providers,34.031,3.71,93.22,1.89,2.07,5
DIGI,6947,DIGI.COM BERHAD,Telecommunications Service Providers,32.655,4.2,28.3,3.71,185.5,5
MAXIS,6012,MAXIS BERHAD,Telecommunications Service Providers,35.439,4.53,26.03,3.75,19.33,5
TM,4863,TELEKOM MALAYSIA BERHAD,Telecommunications Service Providers,21.284,5.64,20.94,2.54,14.26,5
MISC,3816,MISC BERHAD,Transportation & Logistics Services,30.041,6.73,19.46,4.9,4.62,6
GENM,4715,GENTING MALAYSIA BERHAD,"Travel, Leisure & Hospitality",16.448,2.77,0,7.22,-14.44,6
GENTING,3182,GENTING BERHAD,"Travel, Leisure & Hospitality",18.609,4.8,0,4.58,-3.09,6